ID,Name,Gender,Age,Height (cm),Weight (kg),Country,Continent,Year,Season,Sport,Event,Medal
3503,Mick Varley,Male,36,193,59,Italy,Europe,2020,Winter,Skiing,Alpine Skiing,
3504,Alan Vaughan,Male,31,188,82,Brazil,South America,2020,Summer,Basketball,Women's Tournament,
3505,Frederick Virtue,Male,38,153,98,France,Europe,2020,Winter,Skiing,Cross-Country,
3506,Keith Wallace,Male,36,169,106,Italy,Europe,2020,Summer,Gymnastics,Floor Exercise,Gold
3507,Terry Waller,Female,23,180,101,South Africa,Africa,2020,Winter,Skiing,Alpine Skiing,Gold
3508,Rube Warnes,Male,39,190,76,Germany,Europe,2020,Summer,Gymnastics,Vault,Gold
3509,Teddy Warwick,Male,37,198,85,France,Europe,2020,Winter,Ice Hockey,Men's Ice Hockey,
3510,Peter Waterman,Male,22,171,113,China,Asia,2020,Summer,Gymnastics,Floor Exercise,
3511,Wally Webb,Female,25,153,62,UK,Europe,2020,Summer,Weightlifting,Men's 77kg,
3512,Fred Webster,Female,36,186,99,Italy,Europe,2020,Summer,Football,Men's Football,
3513,Matt Wells,Female,21,183,60,Italy,Europe,2020,Summer,Basketball,Women's Tournament,
3514,Bobby Wells,Female,19,196,68,Spain,Europe,2020,Summer,Basketball,Women's Tournament,
3515,Billy Wells,Female,32,197,93,Italy,Europe,2020,Summer,Gymnastics,Floor Exercise,
3516,Freddie Whitbread,Male,18,167,85,Spain,Europe,2020,Summer,Weightlifting,Women's 58kg,
3517,Ted White,Female,34,158,79,South Africa,Africa,2020,Summer,Athletics,100m Sprint,Gold
3518,Walter White,Male,20,152,93,Australia,Oceania,2020,Summer,Weightlifting,Women's 58kg,Bronze
3519,Rowan Williams,Male,33,169,93,Italy,Europe,2020,Summer,Basketball,Men's Tournament,Gold
3520,Tony Willis,Male,37,151,66,Germany,Europe,2020,Winter,Ice Hockey,Men's Ice Hockey,
3521,Nicky Wilshire,Female,36,194,64,Japan,Asia,2020,Summer,Weightlifting,Men's 77kg,Silver
3522,Tony Wilson,Female,33,198,112,South Korea,Asia,2020,Summer,Football,Women's Football,
3523,Stephen Wilson,Female,22,150,69,Spain,Europe,2020,Summer,Football,Men's Football,
3524,Richie Woodhall,Female,24,153,62,South Korea,Asia,2020,Summer,Basketball,Men's Tournament,
3525,Johnny Wright,Female,25,183,67,Japan,Asia,2020,Winter,Ice Hockey,Women's Ice Hockey,
3526,Doug Young,Female,36,171,73,Canada,North America,2020,Summer,Athletics,100m Sprint,
3527,Bernd Anders,Male,26,159,55,China,Asia,2020,Summer,Swimming,100m Freestyle,Gold
3528,Otto Babiasch,Female,23,171,105,China,Asia,2020,Winter,Ice Hockey,Women's Ice Hockey,
3529,Jochen Bachfeld,Male,34,169,83,Japan,Asia,2020,Winter,Ice Hockey,Men's Ice Hockey,Bronze
3530,Herbert Bauch,Female,19,160,77,India,Asia,2020,Winter,Skiing,Alpine Skiing,Gold
3531,Mario Behrendt,Female,37,155,92,Italy,Europe,2020,Winter,Ice Hockey,Men's Ice Hockey,
3532,Wolfgang Behrendt,Female,30,185,109,Canada,North America,2020,Summer,Gymnastics,Vault,Silver
3533,Ulrich Beyer,Male,39,156,110,Canada,North America,2020,Summer,Gymnastics,Vault,
3534,Hans-Joachim Brauske,Female,28,172,57,South Africa,Africa,2020,Summer,Football,Women's Football,
3535,René Breitbarth,Male,37,161,91,USA,North America,2020,Winter,Ice Hockey,Men's Ice Hockey,
3536,Werner Busse,Female,37,200,117,Italy,Europe,2020,Summer,Gymnastics,Floor Exercise,
3537,Rolf Caroli,Female,19,151,104,Brazil,South America,2020,Winter,Ice Hockey,Women's Ice Hockey,Bronze
3538,Detlef Dahn,Female,35,156,117,USA,North America,2020,Summer,Athletics,200m Sprint,
3539,Diego Drumm,Male,36,153,99,China,Asia,2020,Winter,Ice Hockey,Women's Ice Hockey,Silver
3540,Bernd Englmeier,Female,28,159,86,Australia,Oceania,2020,Summer,Athletics,100m Sprint,
3541,Jürgen Fanghänel,Female,19,183,78,UK,Europe,2020,Winter,Skiing,Cross-Country,Gold
3542,Rudi Fink,Female,37,151,84,India,Asia,2020,Summer,Gymnastics,Floor Exercise,
3543,Stefan Förster,Female,23,164,105,China,Asia,2020,Summer,Basketball,Men's Tournament,
3544,Dietmar Geilich,Male,33,157,80,Japan,Asia,2020,Summer,Weightlifting,Men's 77kg,Silver
3545,Bruno Guse,Male,26,192,62,France,Europe,2020,Summer,Weightlifting,Women's 58kg,
3546,Maik Heydeck,Female,27,154,88,Japan,Asia,2020,Summer,Swimming,100m Freestyle,
3547,Bernd Juterzenka,Male,38,168,95,USA,North America,2020,Summer,Basketball,Men's Tournament,
3548,Ulli Kaden,Female,33,158,90,China,Asia,2020,Winter,Ice Hockey,Women's Ice Hockey,Bronze
3549,Werner Kirsch,Male,36,167,95,France,Europe,2020,Summer,Football,Men's Football,
3550,Karl-Heinz Krüger,Female,40,183,116,India,Asia,2020,Summer,Basketball,Men's Tournament,
3551,Detlef Kästner,Male,40,167,95,Spain,Europe,2020,Summer,Swimming,100m Freestyle,Silver
3552,Harry Lempio,Female,27,159,74,India,Asia,2020,Summer,Athletics,Marathon,
3553,Henry Maske,Female,28,197,83,France,Europe,2020,Winter,Ice Hockey,Women's Ice Hockey,
3554,Siegfried Mehnert,Male,34,154,54,Germany,Europe,2020,Winter,Ice Hockey,Men's Ice Hockey,Gold
3555,Ulli Nitzschke,Male,18,171,83,Japan,Asia,2020,Summer,Swimming,100m Freestyle,
3556,Richard Nowakowski,Male,34,188,91,Brazil,South America,2020,Winter,Ice Hockey,Men's Ice Hockey,Silver
3557,Rainer Poser,Female,27,157,108,South Africa,Africa,2020,Winter,Skiing,Alpine Skiing,
3558,Peter Rieger,Male,33,162,86,UK,Europe,2020,Summer,Football,Men's Football,
3559,Ottomar Sachse,Male,33,200,102,Russia,Europe,2020,Summer,Basketball,Women's Tournament,Gold
3560,Jürgen Schlegel,Male,18,184,78,USA,North America,2020,Summer,Athletics,100m Sprint,Silver
3561,Torsten Schmitz,Female,27,179,116,Germany,Europe,2020,Summer,Basketball,Men's Tournament,
3562,Bernhard Schröter,Female,29,189,71,Japan,Asia,2020,Summer,Athletics,200m Sprint,Bronze
3563,Heinz Schulz,Female,38,163,67,China,Asia,2020,Summer,Weightlifting,Women's 58kg,Silver
3564,Dietmar Schwarz,Female,39,168,54,USA,North America,2020,Summer,Weightlifting,Men's 77kg,
3565,Günter Siegmund,Male,20,171,116,Canada,North America,2020,Summer,Swimming,200m Butterfly,
3566,René Suetovius,Female,19,170,54,Italy,Europe,2020,Summer,Basketball,Women's Tournament,
3567,Peter Tiepold,Female,28,163,84,Brazil,South America,2020,Winter,Ice Hockey,Men's Ice Hockey,
3568,Manfred Trauten,Female,38,167,67,UK,Europe,2020,Summer,Football,Women's Football,Gold
3569,Heiko Winter,Female,30,171,93,France,Europe,2020,Summer,Basketball,Women's Tournament,
3570,Bernd Wittenburg,Female,26,163,118,India,Asia,2020,Summer,Athletics,Marathon,Silver
3571,Manfred Wolke,Male,33,167,98,Brazil,South America,2020,Summer,Football,Men's Football,
3572,K'oba Gogoladze,Female,30,199,99,Russia,Europe,2020,Winter,Ice Hockey,Men's Ice Hockey,
3573,Akın Kuloğlu,Male,34,178,58,USA,North America,2020,Summer,Swimming,100m Freestyle,Silver
3574,Giorgi K'andelak'i,Male,35,194,117,China,Asia,2020,Winter,Ice Hockey,Women's Ice Hockey,
3575,Tengiz Meskhadze,Male,18,177,70,Germany,Europe,2020,Summer,Football,Men's Football,
3576,Besik' Vardzelashvili,Male,33,151,95,UK,Europe,2020,Summer,Gymnastics,Floor Exercise,Silver
3577,Hubert Ausböck,Male,26,157,75,Australia,Oceania,2020,Summer,Swimming,200m Butterfly,
3578,Edgar Basel,Male,28,181,82,Russia,Europe,2020,Summer,Athletics,200m Sprint,Gold
3579,Andreas Bauer,Female,36,153,70,Japan,Asia,2020,Winter,Skiing,Cross-Country,Gold
3580,Adolf Baumgarten,Female,39,190,85,China,Asia,2020,Summer,Gymnastics,Vault,Gold
3581,Dieter Berg,Female,30,190,97,Germany,Europe,2020,Summer,Football,Women's Football,
3582,Hans Berger,Male,36,158,119,Canada,North America,2020,Summer,Swimming,100m Freestyle,Bronze
3583,Hans Bernlöhr,Female,26,153,66,Canada,North America,2020,Winter,Skiing,Alpine Skiing,Silver
3584,Markus Beyer,Female,34,199,84,USA,North America,2020,Summer,Swimming,100m Freestyle,
3585,Markus Bott,Female,40,161,90,Canada,North America,2020,Winter,Skiing,Cross-Country,Gold
3586,Erich Campe,Male,24,168,119,Germany,Europe,2020,Summer,Gymnastics,Vault,Bronze
3587,Franz Dübbers,Male,35,177,51,Canada,North America,2020,Summer,Weightlifting,Men's 77kg,
3588,Willi Fischer,Female,21,195,83,France,Europe,2020,Winter,Ice Hockey,Men's Ice Hockey,Silver
3589,Helmut Gertel,Male,20,158,60,Russia,Europe,2020,Winter,Skiing,Cross-Country,Bronze
3590,Stefan Gertel,Female,20,151,85,UK,Europe,2020,Winter,Skiing,Alpine Skiing,
3591,Reiner Gies,Female,36,158,118,Brazil,South America,2020,Summer,Basketball,Men's Tournament,
3592,Edgar Gorgas,Female,19,169,120,India,Asia,2020,Summer,Athletics,100m Sprint,Gold
3593,Wolfgang Gruber,Male,19,174,88,Spain,Europe,2020,Winter,Ice Hockey,Women's Ice Hockey,Bronze
3594,Günther Heidemann,Female,31,170,93,France,Europe,2020,Summer,Football,Men's Football,
3595,Peter Heß,Female,22,189,102,Australia,Oceania,2020,Winter,Ice Hockey,Women's Ice Hockey,
3596,Paul Hogh,Male,18,154,52,Italy,Europe,2020,Summer,Weightlifting,Women's 58kg,
3597,Manfred Homberg,Male,28,179,71,Canada,North America,2020,Summer,Football,Women's Football,
3598,Rudi Hornig,Female,22,160,56,Russia,Europe,2020,Summer,Athletics,200m Sprint,Silver
3599,Hans Huber,Male,27,157,70,Japan,Asia,2020,Winter,Skiing,Cross-Country,
3600,Peter Hussing,Female,27,160,53,Germany,Europe,2020,Summer,Swimming,200m Butterfly,
3601,Falk Huste,Female,24,171,80,India,Asia,2022,Summer,Swimming,100m Freestyle,
3602,Ewald Jarmer,Female,23,156,94,USA,North America,2022,Summer,Basketball,Men's Tournament,Silver
3603,Willi Kaiser,Male,30,162,105,South Africa,Africa,2022,Summer,Football,Men's Football,
3604,Franz Kartz,Male,22,171,120,Japan,Asia,2022,Winter,Ice Hockey,Men's Ice Hockey,Bronze
3605,Ulrich Kienast,Male,33,161,104,Canada,North America,2022,Winter,Ice Hockey,Men's Ice Hockey,
3606,Karl Kistner,Male,39,158,66,Japan,Asia,2022,Summer,Football,Men's Football,
3607,Elimar Kloos,Female,30,172,57,Australia,Oceania,2022,Summer,Swimming,200m Butterfly,Gold
3608,Heinz Kohlhaas,Male,24,178,53,UK,Europe,2022,Summer,Weightlifting,Women's 58kg,
3609,Dieter Kottysch,Male,35,157,78,China,Asia,2022,Summer,Athletics,100m Sprint,
3610,Luan Krasniqi,Female,40,152,52,Brazil,South America,2022,Summer,Weightlifting,Men's 77kg,Silver
3611,Alexander Künzler,Male,38,174,100,Germany,Europe,2022,Summer,Basketball,Women's Tournament,Bronze
3612,Harry Kurschat,Male,40,184,94,South Korea,Asia,2022,Summer,Swimming,200m Butterfly,
3613,Albert Leidmann,Male,28,159,91,India,Asia,2022,Winter,Ice Hockey,Men's Ice Hockey,
3614,Mario Loch,Female,24,154,95,Russia,Europe,2022,Summer,Basketball,Men's Tournament,Bronze
3615,Zoltan Lunka,Female,37,170,114,India,Asia,2022,Summer,Football,Men's Football,
3616,Torsten May,Male,40,153,85,Russia,Europe,2022,Summer,Football,Women's Football,Silver
3617,Günther Meier,Male,33,191,61,Japan,Asia,2022,Winter,Skiing,Alpine Skiing,
3618,Josef Miner,Male,19,159,52,Italy,Europe,2022,Summer,Swimming,100m Freestyle,Gold
3619,René Monse,Female,36,182,68,Spain,Europe,2022,Summer,Athletics,100m Sprint,Gold
3620,Michael Murach,Female,39,184,60,France,Europe,2022,Summer,Football,Women's Football,Bronze
3621,Ernst Müller,Female,39,153,90,China,Asia,2022,Summer,Athletics,100m Sprint,Bronze
3622,Norbert Nieroba,Male,36,174,76,USA,North America,2022,Summer,Weightlifting,Men's 77kg,Silver
3623,Sven Ottke,Male,38,196,115,India,Asia,2022,Summer,Football,Women's Football,Silver
3624,Andreas Otto,Male,25,157,60,India,Asia,2022,Summer,Swimming,200m Butterfly,
3625,Ernst Pistulla,Female,25,195,89,China,Asia,2022,Summer,Football,Men's Football,
3626,Peter Prause,Male,24,186,90,Spain,Europe,2022,Summer,Basketball,Men's Tournament,Bronze
3627,Gert Puzicha,Female,18,178,101,Japan,Asia,2022,Winter,Skiing,Cross-Country,Silver
3628,Jan Quast,Male,27,195,71,Canada,North America,2022,Summer,Gymnastics,Floor Exercise,Gold
3629,Eberhard Radzik,Male,38,185,112,UK,Europe,2022,Winter,Ice Hockey,Women's Ice Hockey,Gold
3630,Horst Rascher,Male,29,186,82,Italy,Europe,2022,Summer,Swimming,100m Freestyle,Bronze
3631,Raymar Reimers,Female,18,192,83,Spain,Europe,2022,Summer,Football,Women's Football,
3632,Dieter Renz,Male,35,198,99,Russia,Europe,2022,Summer,Athletics,Marathon,
3633,Willi Roth,Female,18,187,98,Brazil,South America,2022,Summer,Weightlifting,Men's 77kg,Silver
3634,Marco Rudolph,Male,31,178,83,South Korea,Asia,2022,Summer,Swimming,200m Butterfly,Bronze
3635,Herbert Runge,Male,39,179,106,Germany,Europe,2022,Summer,Football,Men's Football,
3636,Werner Ruzicka,Female,18,171,84,Italy,Europe,2022,Summer,Gymnastics,Vault,Gold
3637,Egon Schidan,Female,37,150,71,Canada,North America,2022,Summer,Basketball,Men's Tournament,Bronze
3638,Herbert Schilling,Male,18,197,110,USA,North America,2022,Summer,Basketball,Men's Tournament,
3639,Josef Schleinkofer,Male,23,165,59,Australia,Oceania,2022,Summer,Weightlifting,Men's 77kg,
3640,Karl Schmedes,Male,23,184,72,Australia,Oceania,2022,Summer,Basketball,Women's Tournament,
3641,Wolfgang Schmitt,Male,32,161,90,USA,North America,2022,Winter,Skiing,Cross-Country,
3642,Gerd Schubert,Female,34,178,71,Italy,Europe,2022,Winter,Skiing,Cross-Country,
3643,Emil Schulz,Male,37,191,69,Japan,Asia,2022,Summer,Weightlifting,Men's 77kg,
3644,Joachim Schür,Male,18,182,83,China,Asia,2022,Summer,Football,Men's Football,
3645,Werner Schäfer,Female,39,162,79,Brazil,South America,2022,Winter,Skiing,Cross-Country,
3646,Hans Schönrath,Male,36,181,54,South Korea,Asia,2022,Summer,Athletics,100m Sprint,Gold
3647,Erich Schöppner,Male,31,184,89,Spain,Europe,2022,Winter,Ice Hockey,Women's Ice Hockey,
3648,Reinhard Skricek,Female,25,157,53,UK,Europe,2022,Winter,Ice Hockey,Women's Ice Hockey,Gold
3649,Andreas Schnieders,Female,28,183,103,Australia,Oceania,2022,Summer,Basketball,Men's Tournament,
3650,Werner Spannagel,Female,37,189,62,South Korea,Asia,2022,Summer,Swimming,200m Butterfly,
3651,Willi Stasch,Female,23,199,57,Germany,Europe,2022,Summer,Gymnastics,Floor Exercise,Bronze
3652,Bert Teuchert,Female,38,160,119,India,Asia,2022,Summer,Weightlifting,Men's 77kg,
3653,Andreas Tews,Male,29,168,88,UK,Europe,2022,Summer,Basketball,Men's Tournament,
3654,Thomas Ulrich,Male,27,174,67,Russia,Europe,2022,Summer,Swimming,100m Freestyle,
3655,Oktay Urkal,Male,28,166,83,South Korea,Asia,2022,Summer,Swimming,200m Butterfly,Gold
3656,Richard Vogt,Male,23,176,104,South Korea,Asia,2022,Summer,Football,Women's Football,
3657,William Walther,Male,40,180,83,UK,Europe,2022,Winter,Ice Hockey,Women's Ice Hockey,
3658,René Weller,Female,30,169,100,South Korea,Asia,2022,Winter,Skiing,Alpine Skiing,Bronze
3659,Dieter Wemhöner,Male,32,189,86,Brazil,South America,2022,Winter,Ice Hockey,Men's Ice Hockey,
3660,Ewald Wichert,Male,27,161,53,India,Asia,2022,Summer,Athletics,Marathon,
3661,Emil Willer,Male,23,190,119,Japan,Asia,2022,Winter,Ice Hockey,Women's Ice Hockey,Silver
3662,Hans-Werner Wohlers,Male,40,200,75,Australia,Oceania,2022,Winter,Ice Hockey,Women's Ice Hockey,Bronze
3663,Manfred Zielonka,Male,39,150,110,France,Europe,2022,Winter,Ice Hockey,Women's Ice Hockey,
3664,Hans Ziglarski,Male,36,157,119,France,Europe,2022,Winter,Ice Hockey,Men's Ice Hockey,
3665,Andreas Zülow,Female,27,151,67,India,Asia,2022,Summer,Gymnastics,Vault,
3666,Stephen Ahialey,Male,29,156,89,Canada,North America,2022,Summer,Gymnastics,Floor Exercise,Silver
3667,Taju Akay,Female,24,189,89,USA,North America,2022,Summer,Weightlifting,Men's 77kg,Gold
3668,Prince Amartey,Female,27,166,70,Australia,Oceania,2022,Summer,Swimming,100m Freestyle,
3669,Sammy Lee Amekudji,Female,28,185,83,Japan,Asia,2022,Summer,Swimming,200m Butterfly,
3670,Alfred Ankamah,Female,24,179,119,South Korea,Asia,2022,Summer,Gymnastics,Vault,
3671,Emma Ankudey,Female,34,191,84,Russia,Europe,2022,Winter,Skiing,Alpine Skiing,Bronze
3672,Thomas Arimi,Female,33,175,50,France,Europe,2022,Summer,Swimming,100m Freestyle,
3673,Isaac Aryee,Female,20,157,56,China,Asia,2022,Summer,Swimming,100m Freestyle,Gold
3674,Alex Baba,Female,27,166,112,China,Asia,2022,Summer,Swimming,200m Butterfly,Bronze
3675,Ricky Barnor,Female,22,168,73,China,Asia,2022,Summer,Gymnastics,Vault,Gold
3676,Eddie Blay,Male,36,164,95,Australia,Oceania,2022,Winter,Skiing,Cross-Country,
3677,Alhassan Brimah,Female,33,189,54,Canada,North America,2022,Summer,Weightlifting,Men's 77kg,
3678,Joe Cofie,Male,37,152,108,China,Asia,2022,Summer,Basketball,Women's Tournament,Gold
3679,Michael Ebo Dankwa,Male,27,190,69,France,Europe,2022,Summer,Football,Men's Football,
3680,Joe Darkey,Female,18,180,103,Brazil,South America,2022,Winter,Ice Hockey,Men's Ice Hockey,Bronze
3681,Eddie Davies,Male,39,199,107,Russia,Europe,2022,Summer,Basketball,Men's Tournament,Silver
3682,Joe Destimo,Female,25,183,75,China,Asia,2022,Summer,Basketball,Men's Tournament,
3683,Alfred Kotey,Male,37,166,52,Italy,Europe,2022,Summer,Gymnastics,Vault,
3684,Christian Kpakpo,Female,27,177,62,France,Europe,2022,Summer,Football,Women's Football,Bronze
3685,Joseph Lartey,Male,23,167,59,Brazil,South America,2022,Summer,Swimming,200m Butterfly,
3686,Joseph Laryea,Male,37,173,115,South Korea,Asia,2022,Summer,Swimming,100m Freestyle,
3687,Odartey Lawson,Female,28,174,110,Russia,Europe,2022,Winter,Ice Hockey,Women's Ice Hockey,Bronze
3688,Tony Martey,Male,34,156,108,Italy,Europe,2022,Summer,Basketball,Men's Tournament,Gold
3689,Amon Neequaye,Female,36,180,58,South Korea,Asia,2022,Summer,Gymnastics,Vault,
3690,Douglas Odame,Female,35,181,114,Brazil,South America,2022,Winter,Skiing,Alpine Skiing,Gold
3691,Aaron Popoola,Male,34,188,81,USA,North America,2022,Summer,Athletics,100m Sprint,Bronze
3692,Ike Quartey,Female,27,180,107,Germany,Europe,2022,Winter,Skiing,Alpine Skiing,Bronze
3693,Ike Quartey,Male,27,183,117,Italy,Europe,2022,Winter,Ice Hockey,Men's Ice Hockey,
3694,Emmanuel Quaye,Male,37,165,60,Australia,Oceania,2022,Summer,Swimming,100m Freestyle,
3695,Adonis Ray,Male,18,158,117,India,Asia,2022,Summer,Athletics,200m Sprint,
3696,Sullemana Sadik,Female,23,185,66,USA,North America,2022,Summer,Football,Men's Football,Bronze
3697,Dong Seidu,Female,30,186,112,South Africa,Africa,2022,Summer,Gymnastics,Vault,Silver
3698,Sulley Shittu,Male,38,150,118,USA,North America,2022,Summer,Football,Men's Football,Bronze
3699,Alfred Tetteh,Male,21,187,68,India,Asia,2022,Summer,Weightlifting,Women's 58kg,
3700,Joshua Williams,Female,20,170,81,South Africa,Africa,2022,Summer,Gymnastics,Floor Exercise,Gold
3701,Ashiakwei Aryee,Male,27,180,51,Spain,Europe,2022,Summer,Gymnastics,Vault,
3702,Georgios Agrimanakis,Female,23,158,58,South Africa,Africa,2022,Summer,Gymnastics,Floor Exercise,
3703,Efstathios Alexopoulos,Female,26,195,86,Canada,North America,2022,Winter,Skiing,Cross-Country,
3704,Georgios Kladis,Male,29,188,95,Spain,Europe,2022,Summer,Weightlifting,Men's 77kg,
3705,Thanasis Chouliaras,Male,26,160,64,India,Asia,2022,Summer,Athletics,Marathon,Bronze
3706,Dimitrios Michail,Female,30,179,74,Australia,Oceania,2022,Summer,Gymnastics,Floor Exercise,
3707,Nikolaos Fexis,Male,20,152,115,Germany,Europe,2022,Summer,Gymnastics,Vault,Silver
3708,Athanasios Giannopoulos,Female,23,175,79,Spain,Europe,2022,Winter,Skiing,Alpine Skiing,Gold
3709,Emmanouil Gneftos,Female,25,161,85,China,Asia,2022,Winter,Skiing,Alpine Skiing,
3710,Athanasios Iliadis,Male,22,188,94,Italy,Europe,2022,Summer,Football,Women's Football,Silver
3711,Georgios Ioannidis,Male,22,158,118,Germany,Europe,2022,Summer,Football,Men's Football,Gold
3712,Stamatios Kolethras,Male,24,193,84,Australia,Oceania,2022,Summer,Swimming,200m Butterfly,Silver
3713,Panagiotis Kostarellos,Male,32,184,89,India,Asia,2022,Summer,Gymnastics,Vault,
3714,Nikolaos Mastoridis,Male,34,194,53,Spain,Europe,2022,Summer,Athletics,Marathon,Gold
3715,Evangelos Oikonomakos,Female,30,189,108,India,Asia,2022,Summer,Gymnastics,Floor Exercise,Bronze
3716,Tigran Ouzlian,Male,28,154,120,Japan,Asia,2022,Winter,Ice Hockey,Men's Ice Hockey,
3717,Georgios Stefanopoulos,Male,29,154,113,Germany,Europe,2022,Winter,Skiing,Alpine Skiing,Bronze
3718,Angelos Theotokatos,Female,22,182,82,Brazil,South America,2022,Summer,Athletics,Marathon,Silver
3719,Panagiotis Therianos,Male,32,187,91,South Africa,Africa,2022,Summer,Swimming,200m Butterfly,Silver
3720,Agathangelos Tsiripidis,Female,34,150,106,Germany,Europe,2022,Summer,Swimming,200m Butterfly,Silver
3721,Chris Collins,Male,19,171,109,Spain,Europe,2022,Summer,Athletics,100m Sprint,Silver
3722,Garth Felix,Male,40,188,57,UK,Europe,2022,Winter,Ice Hockey,Men's Ice Hockey,Gold
3723,Tad Joseph,Male,26,179,92,Italy,Europe,2022,Summer,Swimming,100m Freestyle,
3724,Anthony Longdon,Male,22,177,114,China,Asia,2022,Summer,Swimming,200m Butterfly,Gold
3725,John Tobin,Female,31,195,94,Italy,Europe,2022,Summer,Basketball,Men's Tournament,
3726,Bernard Wilson,Male,40,154,80,USA,North America,2022,Winter,Skiing,Alpine Skiing,
3727,Mauricio Ávila,Female,36,156,86,South Africa,Africa,2022,Summer,Swimming,200m Butterfly,
3728,Eugenio Boches,Male,22,174,88,Russia,Europe,2022,Summer,Athletics,200m Sprint,
3729,Mario Mendoza,Female,24,188,74,Brazil,South America,2022,Summer,Athletics,Marathon,Bronze
3730,Carlos Motta,Female,28,176,62,Russia,Europe,2022,Summer,Gymnastics,Floor Exercise,Gold
3731,Giovanni Pérez,Female,35,197,62,Australia,Oceania,2022,Summer,Football,Men's Football,
3732,Magno Ruiz,Male,36,159,63,South Korea,Asia,2022,Summer,Football,Men's Football,
3733,Barry Aguibou,Female,33,197,119,India,Asia,2022,Summer,Football,Men's Football,
3734,Mbemba Camara,Female,36,181,77,Russia,Europe,2022,Summer,Swimming,200m Butterfly,Silver
3735,Aboubacar Diallo,Male,19,169,116,South Korea,Asia,2022,Summer,Athletics,200m Sprint,Gold
3736,Samba Jacob Diallo,Female,28,191,50,Brazil,South America,2022,Winter,Skiing,Alpine Skiing,
3737,Serigne Fall,Male,40,196,63,Canada,North America,2022,Winter,Skiing,Alpine Skiing,
3738,Eduardo de la Peña,Female,39,184,93,China,Asia,2022,Winter,Skiing,Alpine Skiing,Silver
3739,George Allison,Male,18,185,51,South Korea,Asia,2022,Summer,Football,Men's Football,
3740,Charles Amos,Male,40,197,96,India,Asia,2022,Winter,Skiing,Alpine Skiing,
3741,Michael Parris,Male,40,153,117,South Africa,Africa,2022,Summer,Football,Women's Football,Bronze
3742,Courtney Atherly,Male,38,186,109,Australia,Oceania,2022,Winter,Skiing,Alpine Skiing,
3743,Fitzroy Brown,Female,38,153,54,Spain,Europe,2022,Summer,Weightlifting,Women's 58kg,
3744,Barry Cambridge,Male,37,193,91,China,Asia,2022,Summer,Basketball,Women's Tournament,Bronze
3745,Dillon Carew,Female,23,154,61,South Africa,Africa,2022,Summer,Basketball,Men's Tournament,
3746,Gordon Carew,Female,35,180,51,Italy,Europe,2022,Summer,Weightlifting,Women's 58kg,
3747,Carl Crawford,Female,32,165,94,USA,North America,2022,Summer,Basketball,Women's Tournament,Bronze
3748,John Douglas,Male,39,199,91,Germany,Europe,2022,Summer,Basketball,Men's Tournament,Bronze
3749,Reggie Ford,Female,39,182,69,USA,North America,2022,Winter,Ice Hockey,Women's Ice Hockey,
3750,Steve Frank,Male,22,183,97,India,Asia,2022,Winter,Ice Hockey,Women's Ice Hockey,
3751,Andrew Lewis,Female,20,197,81,Germany,Europe,2022,Summer,Athletics,100m Sprint,Gold
3752,Colin Moore,Female,23,156,64,India,Asia,2022,Summer,Athletics,100m Sprint,Gold
3753,Dhanraj Singh,Female,28,193,62,Japan,Asia,2022,Summer,Swimming,200m Butterfly,Silver
3754,Alfred Thomas,Male,20,187,85,France,Europe,2022,Summer,Swimming,200m Butterfly,
3755,Junior Ward,Male,32,197,80,Canada,North America,2022,Summer,Athletics,100m Sprint,Bronze
3756,Wesly Felix,Female,29,163,56,South Korea,Asia,2022,Winter,Skiing,Cross-Country,Bronze
3757,Yves Jeudy,Female,25,192,58,Russia,Europe,2022,Summer,Football,Women's Football,Gold
3758,Siergot Sully,Male,22,188,94,Australia,Oceania,2022,Summer,Basketball,Women's Tournament,
3759,Law Hon Pak,Female,19,170,56,India,Asia,2022,Summer,Athletics,200m Sprint,
3760,Lee Kam Wah,Male,18,172,112,Italy,Europe,2022,Summer,Swimming,200m Butterfly,
3761,Darwin Ángeles,Male,38,169,85,Australia,Oceania,2022,Summer,Football,Women's Football,
3762,Geovanny Baca,Male,22,168,52,India,Asia,2022,Summer,Football,Men's Football,
3763,Roberto Martínez,Female,19,151,80,South Africa,Africa,2022,Summer,Football,Women's Football,Gold
3764,Gyula Alvics,Male,19,151,106,Italy,Europe,2022,Summer,Basketball,Men's Tournament,Silver
3765,Imre Bácskai,Female,25,170,80,South Korea,Asia,2022,Winter,Skiing,Cross-Country,Gold
3766,Tibor Badari,Male,18,155,112,India,Asia,2022,Winter,Skiing,Cross-Country,Silver
3767,Lajos Baranyai,Female,29,171,81,Australia,Oceania,2022,Summer,Weightlifting,Women's 58kg,Gold
3768,Gusztáv Bene,Female,32,184,102,Russia,Europe,2022,Summer,Basketball,Women's Tournament,Gold
3769,László Bene,Female,39,171,54,Japan,Asia,2022,Summer,Basketball,Men's Tournament,Silver
3770,Zoltán Béres,Male,38,153,58,India,Asia,2022,Summer,Gymnastics,Floor Exercise,
3771,László Bognár,Female,36,166,110,Russia,Europe,2022,Winter,Skiing,Cross-Country,Bronze
3772,Miksa Bondi,Female,25,181,82,South Africa,Africa,2022,Summer,Basketball,Women's Tournament,
3773,András Botos,Female,27,197,83,Brazil,South America,2022,Summer,Swimming,200m Butterfly,Gold
